Station,DateTime,Entero SSM,Entero GM,Entero SSM_CFU,Entero GM2
Radio Island Public Beach Access,2020-09-28 15:53:00,,,1.0,2.7
Radio Island Public Beach Access,2020-10-05 15:55:00,,,8.0,4.1
Radio Island Public Beach Access,2020-10-12 15:53:00,,,18.0,5.3
Radio Island Public Beach Access,2020-10-19 15:43:00,,,7.0,6.8
Radio Island Public Beach Access,2020-11-09 16:35:00,,,7.0,5.9
Radio Island Public Beach Access,2020-12-07 16:45:00,,,8.0,8.9
Radio Island Public Beach Access,2021-01-11 17:46:00,,,15.0,10.1
Radio Island Public Beach Access,2021-02-08 18:10:00,,,20.0,10.3
Radio Island Public Beach Access,2021-03-09 18:50:00,,,1.0,7.0
Radio Island Public Beach Access,2021-04-05 19:30:00,,,4.0,6.3
Radio Island Public Beach Access,2021-04-12 15:04:00,,,2.0,4.7
Radio Island Public Beach Access,2021-04-20 15:25:00,,,8.0,4.2
Radio Island Public Beach Access,2021-04-26 16:45:00,,,28.0,4.5
Radio Island Public Beach Access,2021-05-03 13:35:00,,,3.0,5.6
Radio Island Public Beach Access,2021-05-10 16:25:00,,,1.0,4.2
Radio Island Public Beach Access,2021-05-17 15:13:00,,,3.0,4.6000000000000005
Radio Island Public Beach Access,2021-05-24 16:53:00,,,12.0,5.0
Radio Island Public Beach Access,2021-06-01 17:13:00,,,2.0,2.9
Radio Island Public Beach Access,2021-06-07 16:00:00,,,18.0,4.2
Radio Island Public Beach Access,2021-06-14 15:55:00,,,14.0,7.1
Radio Island Public Beach Access,2021-06-21 16:03:00,,,7.0,8.4
Radio Island Public Beach Access,2021-06-28 15:55:00,,,6.0,7.3
Radio Island Public Beach Access,2021-07-06 16:05:00,,,6.0,9.1
Radio Island Public Beach Access,2021-07-12 16:21:00,,,3.0,6.4
Radio Island Public Beach Access,2021-07-19 15:57:00,,,7.0,5.6
Radio Island Public Beach Access,2021-07-26 16:04:00,,,1.0,3.8
Radio Island Public Beach Access,2021-08-02 16:06:00,,,13.0,4.4
Radio Island Public Beach Access,2021-08-09 16:22:00,,,1.0,3.1
Radio Island Public Beach Access,2021-08-16 16:09:00,,,1.0,2.5
Radio Island Public Beach Access,2021-08-23 16:22:00,,,2.0,1.9
Radio Island Public Beach Access,2021-08-30 16:01:00,,,1.0,1.9
Radio Island Public Beach Access,2021-09-07 16:22:00,,,10.0,1.8
Radio Island Public Beach Access,2021-09-13 15:58:00,,,8.0,2.8
Radio Island Public Beach Access,2021-09-20 15:55:00,,,2.0,3.2
Radio Island Public Beach Access,2021-09-27 16:08:00,,,4.0,3.6
Radio Island Public Beach Access,2021-10-04 16:27:00,,,1.0,3.6
Radio Island Public Beach Access,2021-10-11 16:03:00,,,44.0,4.9
Radio Island Public Beach Access,2021-11-15 17:20:00,,,2.0,3.7
Radio Island Public Beach Access,2021-12-07 17:55:00,,,4.0,4.3
Radio Island Public Beach Access,2022-01-03 17:06:00,,,120.0,8.4
Radio Island Public Beach Access,2022-02-14 17:09:00,,,4.0,11.1
Radio Island Public Beach Access,2022-03-14 16:55:00,,,2.0,6.0
Radio Island Public Beach Access,2022-04-05 15:26:00,,,1.0,5.2
Radio Island Public Beach Access,2022-04-12 15:35:00,,,1.0,3.9
Radio Island Public Beach Access,2022-04-19 15:55:00,,,10.0,2.4
Radio Island Public Beach Access,2022-04-26 15:45:00,,,4.0,2.4
Radio Island Public Beach Access,2022-05-03 15:14:00,,,1.0,2.1
Radio Island Public Beach Access,2022-05-11 13:50:00,,,4.0,2.8
Radio Island Public Beach Access,2022-05-17 15:40:00,,,9.0,4.3
Radio Island Public Beach Access,2022-05-24 16:17:00,,,1.0,2.7
Radio Island Public Beach Access,2022-05-31 16:18:00,,,1.0,2.0
Radio Island Public Beach Access,2022-06-06 15:15:00,,,3.0,2.6
Radio Island Public Beach Access,2022-06-13 16:40:00,,,59.0,4.4
Radio Island Public Beach Access,2022-06-20 15:10:00,,,1.0,2.8
Radio Island Public Beach Access,2022-06-27 15:34:00,,,1.0,2.8
Radio Island Public Beach Access,2022-07-06 16:36:00,,,26.0,5.4
Radio Island Public Beach Access,2022-07-11 15:45:00,,,8.0,6.6
Radio Island Public Beach Access,2022-07-18 15:45:00,,,5.0,4.0
Radio Island Public Beach Access,2022-07-25 16:29:00,,,2.0,4.6000000000000005
Radio Island Public Beach Access,2022-08-01 16:18:00,,,10.0,7.3
Radio Island Public Beach Access,2022-08-08 15:44:00,,,10.0,6.0
Radio Island Public Beach Access,2022-08-15 15:55:00,,,4.0,5.3
Radio Island Public Beach Access,2022-08-22 17:00:00,,,22.0,7.1
Radio Island Public Beach Access,2022-08-29 16:15:00,,,3.0,7.7
Radio Island Public Beach Access,2022-09-06 16:00:00,,,2.0,5.6
Radio Island Public Beach Access,2022-09-12 16:07:00,,,2.0,4.0
Radio Island Public Beach Access,2022-09-19 16:56:00,,,1.0,3.1
Radio Island Public Beach Access,2022-09-26 16:34:00,,,1.0,1.6
Radio Island Public Beach Access,2022-10-03 15:42:00,,,20.0,2.4
